Entity,Label,Description,AttributeName,DataType,Structure,Occurs,Required
Biological_Attributes,Biological Attributes,"Inherent physical, physiological, or genetic characteristics of a Natural Person that arise from biology rather than social, cultural, or legal identity.

Biological Attributes describe intrinsic properties of the human body and are distinct from personal identity attributes (e.g., name), demographic identity (e.g. ethnicity), or legal identity (e.g, citizenship).",,,,,
,,,Physical Characteristics,,,once,no
,,,Physiological Information,,,once,no
,,,Psychological Characteristics,,,once,no
,,,Sex and Gender,,,once,yes
Biometric_Identifiers,Biometric Identifiers,"Biometric Identifiers are data elements that capture a person’s unique biological or behavioural traits for the purpose of identification, authentication, or verification. This includes raw biometric measurements (e.g., fingerprints), biometric templates derived from those measurements, and any metadata required to process or match them.",,,,,
,,,Fingerprints,,,many,no
,,,Facial Recognition Data,,,many,no
,,,Voice Pattern,,,many,no
,,,Biometric ID Reference,line,,many,no
,,,Dates,,,many,no
Birth,Birth,"Birth covers data elements that record the circumstances of an individual’s birth. It includes factual, verifiable attributes such as date, place, and conditions of birth, along with any official registration details issued by an authority.",,,,,
,,,Date of Birth Registration Date ,date,,once,yes
,,,Birth Date,,,once,yes
,,,Place of Birth,line,,once,yes
,,,Time of Birth,time,,once,yes
,,,Birth Registration Number,line,,once,yes
,,,Multiple Birth Indicator,lookup,,once,yes
,,,Facility/ Location Type,lookup,,once,yes
Birth_Date,Birth Date,This is the structure defining date of birth and how it's been defined.&#x20;,,,,,
,,,Date of Birth,date,,once,yes
,,,Estimated DOB,yes/no,,once,yes
Citizenship,Citizenship,"A person’s legal relationship with a state, which grants rights, protections, and obligations under that state’s laws. In a conceptual model, Citizenship is a legal‑status attribute of a Natural Person that identifies the country or sovereign entity recognising them as a citizen.",,,,,
,,,Formally Recognized Citizenship ,,,many,yes
Civil_Social_Titles,Civil Social Titles,"Civil Social Titles are non‑professional, non‑noble honorifics used in everyday civil contexts to address or refer to individuals (e.g., Mr, Mrs, Miss, Ms, Mx). They facilitate respectful forms of address, correspondence, and identity presentation but do not indicate rank, role, or qualification.",,,,,
